Comment,Designator,Footprint,LCSC,Quantity
100K,"Rf1,Rf3",R0805 (RESISTOR),C149504,2
100nF,"C12,C13,C14,C15,C16,C23,C24,C25,C26,C27,C5,C6,Cbias1,Cbias2,Cin1,Cin2",C0805 (CAPACITOR),C28233,16
10K,"R1,R15,R16,R17,R2",R0805 (RESISTOR),C17414,5
10nF,"C2,C3,C30,C31",C0805 (CAPACITOR),C1710,4
10uF,"C1,C29,C7",C0805 (CAPACITOR),C15850,3
1K,"Rf2,Rf6",R0805 (RESISTOR),C17513,2
2.2uF,"C11,C4",C0805 (CAPACITOR),C377773,2
2.7K,"Rg2,Rg9",R0805 (RESISTOR),C17530,2
3.3K,"Rg1,Rg3",R0805 (RESISTOR),C26010,2
4.7K,"R3,R9",R0805 (RESISTOR),C17673,2
4.7uF,C28,C0805 (CAPACITOR),C1779,1
82K,"Rf4,Rf5,Rg4,Rg8",R0805 (RESISTOR),C23254,4
AD8606ARZ,"U1,U4,U5,U6",AD8606ARZ-REEL7 (OPAMP),C22365308,4
CMM-2718AT-42308-TR,"MIC1,MIC2",XDCR_CMM-2718AT-42308-TR (MIC),C3171756,2
STM32F429ZGTx,U11,LQFP-144_20x20mm_P0.5mm,C46525,1
