Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C0805 (CAPACITOR),20.635,-64.77,-90.0,top
C11,2.2uF,C0805 (CAPACITOR),68.1625,-94.0,0.0,top
C12,100nF,C0805 (CAPACITOR),65.9125,-63.25,180.0,top
C13,100nF,C0805 (CAPACITOR),55.4125,-63.25,0.0,top
C14,100nF,C0805 (CAPACITOR),60.6625,-63.25,180.0,top
C15,100nF,C0805 (CAPACITOR),73.4125,-93.5,-90.0,top
C16,100nF,C0805 (CAPACITOR),48.1625,-74.25,-90.0,top
C2,10nF,C0805 (CAPACITOR),38.6462,-55.98,0.0,top
C23,100nF,C0805 (CAPACITOR),62.4125,-94.0,180.0,top
C24,100nF,C0805 (CAPACITOR),57.6625,-94.0,180.0,top
C25,100nF,C0805 (CAPACITOR),48.1625,-79.5,-90.0,top
C26,100nF,C0805 (CAPACITOR),48.1625,-84.5,-90.0,top
C27,100nF,C0805 (CAPACITOR),48.6625,-91.75,-90.0,top
C28,4.7uF,C0805 (CAPACITOR),77.6625,-83.75,0.0,top
C29,10uF,C0805 (CAPACITOR),29.885,-64.52,-90.0,top
C3,10nF,C0805 (CAPACITOR),44.3962,-51.48,0.0,top
C30,10nF,C0805 (CAPACITOR),84.25,-56.5,0.0,top
C31,10nF,C0805 (CAPACITOR),92.25,-51.75,0.0,top
C4,2.2uF,C0805 (CAPACITOR),44.6625,-89.0,90.0,top
C5,100nF,C0805 (CAPACITOR),33.885,-68.52,-90.0,top
C6,100nF,C0805 (CAPACITOR),25.885,-68.52,-90.0,top
C7,10uF,C0805 (CAPACITOR),11.385,-77.77,0.0,top
Cbias1,100nF,C0805 (CAPACITOR),29.885,-72.27,-90.0,top
Cbias2,100nF,C0805 (CAPACITOR),20.635,-72.02,-90.0,top
Cin1,100nF,C0805 (CAPACITOR),85.4327,-18.75,0.0,top
Cin2,100nF,C0805 (CAPACITOR),37.4548,-19.0,0.0,top
MIC1,CMM-2718AT-42308-TR,XDCR_CMM-2718AT-42308-TR (MIC),85.0,-10.0,0.0,top
MIC2,CMM-2718AT-42308-TR,XDCR_CMM-2718AT-42308-TR (MIC),15.0,-10.0,0.0,top
R1,10K,R0805 (RESISTOR),13.7501,-25.74995,-90.0,top
R15,10K,R0805 (RESISTOR),77.66255,-70.7501,180.0,top
R16,10K,R0805 (RESISTOR),61.2501,-28.24995,-90.0,top
R17,10K,R0805 (RESISTOR),61.25,-39.28365,-90.0,top
R2,10K,R0805 (RESISTOR),13.75,-36.53365,-90.0,top
R3,4.7K,R0805 (RESISTOR),77.69625,-74.5002,180.0,top
R9,4.7K,R0805 (RESISTOR),77.69625,-78.2502,180.0,top
Rf1,100K,R0805 (RESISTOR),30.98845,-26.0,0.0,top
Rf2,1K,R0805 (RESISTOR),90.28365,-44.25,0.0,top
Rf3,100K,R0805 (RESISTOR),77.96635,-25.75,0.0,top
Rf4,82K,R0805 (RESISTOR),79.78365,-37.75,0.0,top
Rf5,82K,R0805 (RESISTOR),32.36255,-38.0,0.0,top
Rf6,1K,R0805 (RESISTOR),43.67975,-43.9998,0.0,top
Rg1,3.3K,R0805 (RESISTOR),82.96625,-47.4998,0.0,top
Rg2,2.7K,R0805 (RESISTOR),32.07905,-43.5003,180.0,top
Rg3,3.3K,R0805 (RESISTOR),35.67985,-49.25,0.0,top
Rg4,82K,R0805 (RESISTOR),44.45485,-56.0001,180.0,top
Rg8,82K,R0805 (RESISTOR),92.21635,-57.75,180.0,top
Rg9,2.7K,R0805 (RESISTOR),79.78365,-43.5,180.0,top
U1,AD8606ARZ,AD8606ARZ-REEL7 (OPAMP),70.2726,-33.615,0.0,top
U11,STM32F429ZGTx,LQFP-144_20x20mm_P0.5mm,61.9125,-79.75,-90.0,top
U4,AD8606ARZ,AD8606ARZ-REEL7 (OPAMP),87.155,-29.7726,-90.0,top
U5,AD8606ARZ,AD8606ARZ-REEL7 (OPAMP),38.8598,-29.4774,-90.0,top
U6,AD8606ARZ,AD8606ARZ-REEL7 (OPAMP),21.9774,-32.115,0.0,top
